File,ID,Sample_event,Sample,Replicate,DWTP,City,Material,Swab,Event,Service,Diameter_in,Age_yr,Month,Source,Primary,Secondary,Disinfectant,Inhibitor,Other,Log_copies_16S
MKE-16-B2,MKE_dFe_smth_event16_rep2,MKE_dFe_bio_event16,MKE_dFe_bio,2,MKE,Milwaukee,ductile iron,smooth,16,lateral,8,21,August,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",5.9016
MKE-16-B3,MKE_dFe_smth_event16_rep3,MKE_dFe_bio_event16,MKE_dFe_bio,3,MKE,Milwaukee,ductile iron,smooth,16,lateral,8,21,August,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",6.7551
MKE-16-Tub-R1,MKE_dFe_tub_event16_rep1,MKE_dFe_tub_event16,MKE_dFe_tub,1,MKE,Milwaukee,ductile iron,tubercle,16,lateral,8,21,August,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",8.7547
MKE-16-Tub-R2,MKE_dFe_tub_event16_rep2,MKE_dFe_tub_event16,MKE_dFe_tub,2,MKE,Milwaukee,ductile iron,tubercle,16,lateral,8,21,August,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",8.4921
MKE-2-1,MKE_Pb_smth_event2_rep1,MKE_Pb_bio_event2,MKE_Pb_bio,1,MKE,Milwaukee,lead,smooth,2,lateral,0.75,75,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",6.4163
MKE-2-2,MKE_Pb_smth_event2_rep2,MKE_Pb_bio_event2,MKE_Pb_bio,2,MKE,Milwaukee,lead,smooth,2,lateral,0.75,75,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",
MKE-2-3,MKE_Pb_smth_event2_rep3,MKE_Pb_bio_event2,MKE_Pb_bio,3,MKE,Milwaukee,lead,smooth,2,lateral,0.75,75,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",6.1707
MKE-3-3,MKE_Pb_smth_event3_rep1,MKE_Pb_bio_event3,MKE_Pb_bio,1,MKE,Milwaukee,lead,smooth,3,lateral,0.75,90,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",
MKE-3-7,MKE_Pb_smth_event3_rep3,MKE_Pb_bio_event3,MKE_Pb_bio,3,MKE,Milwaukee,lead,smooth,3,lateral,0.75,90,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",
MKE-4-B1,MKE_cFe_smth_event4_rep1,MKE_cFe_bio_event4,MKE_cFe_bio,1,MKE,Milwaukee,cast iron,smooth,4,main,6,67,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",6.2773
MKE-4-B2,MKE_cFe_smth_event4_rep2,MKE_cFe_bio_event4,MKE_cFe_bio,2,MKE,Milwaukee,cast iron,smooth,4,main,6,67,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",7.1123
MKE-4-B3,MKE_cFe_smth_event4_rep3,MKE_cFe_bio_event4,MKE_cFe_bio,3,MKE,Milwaukee,cast iron,smooth,4,main,6,67,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",6.4047
MKE-4-Tub-2,MKE_cFe_tub_event4_rep1,MKE_cFe_tub_event4,MKE_cFe_tub,1,MKE,Milwaukee,cast iron,tubercle,4,main,6,67,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",8.084
MKE-4-Tub-3,MKE_cFe_tub_event4_rep2,MKE_cFe_tub_event4,MKE_cFe_tub,2,MKE,Milwaukee,cast iron,tubercle,4,main,6,67,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",8.0297
MKE-4-Tub-4,MKE_cFe_tub_event4_rep3,MKE_cFe_tub_event4,MKE_cFe_tub,3,MKE,Milwaukee,cast iron,tubercle,4,main,6,67,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",7.1648
